Volume (pixel^3),Surface (pixel^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (pixel),SD dist. to surf. (pixel),Median dist. to surf. (pixel),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
3850,2674,3850,1572,981750,255.000,0.000,255,255,255,216.505,210.347,48.092,10.299,4.021,10.358,216.506,210.346,48.092,200,197,42,36,26,11
2705,1616,2705,1070,689775,255.000,0.000,255,255,255,251.183,247.061,48.087,9.388,2.946,9.145,251.183,247.060,48.087,241,229,42,17,29,11
170,292,170,131,43350,255.000,0.000,255,255,255,183.888,62.547,44.918,3.476,1.224,3.434,183.888,62.547,44.918,180,57,43,9,12,5
11,40,11,11,2805,255.000,0.000,255,255,255,183.909,201.727,43.455,1.137,0.400,1.095,183.909,201.727,43.455,183,200,43,3,4,2
32,90,32,30,8160,255.000,0.000,255,255,255,169.750,62.625,45.719,1.821,0.682,1.812,169.750,62.625,45.719,168,60,44,4,6,4
35,96,35,33,8925,255.000,0.000,255,255,255,180.914,50.000,46.943,1.963,0.742,2.003,180.914,50.000,46.943,179,47,46,5,7,3
15,56,15,15,3825,255.000,0.000,255,255,255,118.133,252.400,46.800,1.980,1.222,1.618,118.133,252.400,46.800,117,249,46,3,9,2
695,710,695,460,177225,255.000,0.000,255,255,255,5.819,145.757,50.734,6.186,2.311,6.088,5.819,145.757,50.734,1,134,48,13,23,5
225,460,225,212,57375,255.000,0.000,255,255,255,40.862,143.747,50.773,5.256,2.531,5.098,40.862,143.747,50.773,30,138,48,20,13,5
23,76,23,23,5865,255.000,0.000,255,255,255,91.652,204.826,51.217,1.577,0.648,1.568,91.652,204.826,51.217,90,203,49,4,5,4
35,94,35,35,8925,255.000,0.000,255,255,255,139.543,153.514,51.771,1.908,0.732,1.784,139.543,153.514,51.771,137,151,51,7,6,2
54,136,54,54,13770,255.000,0.000,255,255,255,236.778,191.444,51.833,2.464,1.084,2.414,236.778,191.444,51.833,232,189,51,10,6,2
29,90,29,29,7395,255.000,0.000,255,255,255,229.828,256.621,51.828,2.866,1.679,2.858,229.828,256.621,51.828,224,256,51,13,2,2
